id;name;acronym;state
16218,46855;FACULDADE MOGIANA DO ESTADO DE SÃO PAULO;FAMOESP;SP
16222,343;FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - BENTO CONÇALVES;FTSG;RS
16226,21746;FACULDADE BRASILEIRA DE ESTUDOS AVANÇADOS;FABEA;MA
16230,09192;FACULDADE DE MÚSICA SOUZA LIMA;FMSL;SP
16233,96638;FACULDADE DE TECNOLOGIA DE SETE LAGOAS;FASSETE;MG
16237,84084;ESCOLA SUPERIOR DE AVIAÇÃO CIVIL;ESAC;PB
16241,7153;FACULDADE DE TECNOLOGIA FINACI;FINACI;SP
16245,58976;FACULDADE DE EDUCAÇÃO, TECNOLOGIA E ADMINISTRAÇÃO DE CAARAPÓ;FETAC;MS
16249,46422;FACULDADES UNIDAS DE PESQUISA, CIÊNCIAS E SAÚDE LTDA;FAPEC;BA
16253,33867;FACULDADE TEOLÓGICA DA ASSEMBLÉIA DE DEUS EM CURITIBA;FATADC;PR
16257,21313;FACULDADE UNIÃO DE CAMPO MOURÃO;;PR
16261,08759;FACULDADE DE TECNOLOGIA TECBRASIL - UNIDADE NOVO HAMBURGO;Ftec Novo Hamburgo;RS
16264,96205;FACULDADE IBMEC DISTRITO FEDERAL;IBMEC/DF;DF
16268,83651;FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO;FEFB;PR
16272,71097;IPOG - INSTITUTO DE PÓS-GRADUAÇÃO & GRADUAÇÃO;IPOG;GO
16276,58543;FACULDADE DE TECNOLOGIA LOURENÇO FILHO;FATEC - FLF;CE
16280,45989;FACULDADE DE GOIÂNIA - UNIDADE 2;FAG;GO
16284,33434;FACULDADE ADJETIVO CETEP;ADJETIVO-CETEP;MG
16288,2088;FACULDADE PRINCESA DO OESTE;FPO;CE
16292,08326;FACULDADE CANÇÃO NOVA;FCN;SP
16295,95772;FACULDADE SÃO FIDELIS;FSF;RJ
16299,83218;FACULDADES EVANGÉLICAS INTEGRADAS CANTARES DE SALOMÃO;FEICS;MT
16303,70664;FACULDADE DE TECNOLOGIA ATENEU;;CE
16307,5811;FACULDADE ISEIB DE BETIM;FISBE;MG
16311,45556;FACULDADE PITÁGORAS DE CONTAGEM;PIT Contagem;MG
16315,33001;FACULDADES FUTURÃO;CENTEFF;SC
16319,20447;FACULDADE PITÁGORAS DE GOVERNADOR VALADARES;PIT GV;MG
16323,07893;FACULDADE DE PORTO FELIZ;;SP
16326,95339;FACULDADE SANTO AGOSTINHO DE SETE LAGOAS;FASASETE;MG
16330,82785;ESCOLA SUPERIOR ABERTA DO BRASIL;ESAB;ES
16334,70231;FACULDADE SAGRADA FAMÍLIA;FASF;PR
16338,57677;FACULDADE ITAPURANGA;;GO
16342,45123;FACULDADE DE TECNOLOGIA BSG-U;FBSG-U;SP
16346,32568;FACULDADE DE MARÍLIA;FAMAR;SP
16350,20014;FACULDADE UNIVERSO;FAUNI;PA
16354,0746;INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DE ABAETÉ;ISAB;MG
16357,94906;Faculdade Presidente Antônio Carlos de Betim;FUNEC Betim;MG
16361,82352;Faculdade Presidente Antônio Carlos de Aimorés;FUNEC Aimorés;MG
16365,69798;Faculdade Presidente Antônio Carlos de Belo Horizonte;FUNEC Belo Horizonte;MG
16369,57244;FACULDADE BETIM;FABE;MG
16373,4469;Faculdade Presidente Antônio Carlos de Almenara;FUNEC Almenara;MG
16377,32136;Faculdade Presidente Antônio Carlos de Baependi;FUNEES Baependi;MG
16381,19581;Faculdade Presidente Antônio Carlos de Ponte Nova;FUNEES Ponte Nova;MG
16385,07027;Faculdade Presidente Antônio Carlos de Raul Soares;FUNEES Raul Soares;MG
16388,94473;Faculdade Presidente Antônio Carlos de São Francisco;FUNEES São Francisco;MG
16392,81919;Faculdade Presidente Antônio Carlos de São João Nepomuceno;FUNEES SJN;MG
16396,69365;Faculdade Presidente Antônio Carlos de São Lourenço;FUNEES São Lourenço;MG
16400,56811;Faculdade Presidente Antônio Carlos de Campo Belo;FUNEES Campo Belo;MG
16404,44257;Faculdade Presidente Antônio Carlos de Vazante;FEES Vazante;MG
16408,31703;Faculdade Presidente Antônio Carlos de Curvelo;FUNEES Curvelo;MG
16412,19148;Faculdade Presidente Antônio Carlos de Várzea da Palma;FEES Várzea da Palma;MG
16416,06594;Faculdade Presidente Antônio Carlos de Itanhandu;FUNEES Itanhandu;MG
16419,9404;Faculdade Presidente Antônio Carlos de Lambari;FUNEES Lambari;MG
16423,81486;Faculdade Presidente Antônio Carlos de Barão de Cocais;;MG
16427,68932;Faculdade Presidente Antônio Carlos de Mariana;FUNEC Mariana;MG
16431,56378;Faculdade Presidente Antônio Carlos de Bocaiúva;FUNEES Bocaiúva;MG
16435,43824;Faculdade Presidente Antônio Carlos de Montes Claros;FUNEC Montes Claros;MG
16439,3127;Faculdade Presidente Antônio Carlos de Nova Lima;FUNEC Nova Lima;MG
16443,18715;Faculdade Presidente Antônio Carlos de Porteirinha;FUNEES Porteirinha;MG
16447,06161;Faculdade Presidente Antônio Carlos de Sabará;FUNEES Sabará;MG
16450,93607;Faculdade Presidente Antônio Carlos de Teófilo Otoni;FUNEES Teófilo Otoni;MG
16454,81053;Faculdade de Educação e Estudos Sociais de Uberlândia;FUNEES Uberlândia;MG
16458,68499;Faculdade Presidente Antônio Carlos de Carmópolis;FUNEES C. de Minas;MG
16462,55945;Faculdade Presidente Antônio Carlos de Contagem;FACEC Contagem;MG
16466,43391;Faculdade Presidente Antônio Carlos de Governador Valadares;FAU G. Valadares;MG
16470,30837;Faculdade de Educação e Estudos Sociais de Governador Valadares;FUNEES G. Valadares;MG
16474,18282;FACULDADE TRÊS PONTAS;FATEP;MG
16478,05728;Faculdade Presidente Antônio Carlos de Itabira;FUNEES Itabira;MG
16481,93174;Faculdade Presidente Antônio Carlos de Itambacuri;FUNEES Itambacuri;MG
